Time_us,Voltage
1544756,0.0000
1546220,0.0098
1547704,0.0196
1549196,0.0196
1550692,0.0293
1552176,0.0391
1553672,0.0489
1555156,0.0538
1556656,0.0587
1558144,0.0684
1559636,0.0782
1561124,0.0782
1562612,0.0880
1564092,0.0929
1565584,0.0978
1567080,0.1075
1568568,0.1124
1570068,0.1173
1571560,0.1271
1573056,0.1320
1574540,0.1369
1576040,0.1417
1577528,0.1515
1579024,0.1564
1580512,0.1662
1582000,0.1662
1583488,0.1760
1584976,0.1808
1586464,0.1857
1587960,0.1857
1589452,0.2004
1590932,0.2004
1592428,0.2102
1593924,0.2102
1595416,0.2199
1596904,0.2248
1598392,0.2297
1599880,0.2346
1601372,0.2346
1602864,0.2493
1604352,0.2493
1605844,0.2542
1607336,0.2590
1608824,0.2639
1610316,0.2688
1611804,0.2688
1613292,0.2737
1614784,0.2835
1616272,0.2884
1617756,0.2933
1619256,0.2981
1620740,0.3030
1622228,0.3079
1623720,0.3079
1625212,0.3177
1626708,0.3177
1628200,0.3226
1629688,0.3275
1631176,0.3324
1632668,0.3372
1634160,0.3421
1635656,0.3470
1637140,0.3470
1638632,0.3568
1640124,0.3617
1641616,0.3617
1643104,0.3617
1644600,0.3715
1646088,0.3763
1647572,0.3763
1649064,0.3763
1650552,0.3861
1652044,0.3861
1653532,0.3910
1655024,0.3959
1656516,0.4008
1658000,0.4057
1659488,0.4106
1660984,0.4154
1662472,0.4154
1663960,0.4154
1665448,0.4252
1666936,0.4252
1668428,0.4301
1669916,0.4301
1671408,0.4350
1672892,0.4350
1674384,0.4399
1675876,0.4448
1677368,0.4448
1678852,0.4497
1680344,0.4545
1681828,0.4594
1683316,0.4594
1684808,0.4643
1686296,0.4692
1687788,0.4692
1689276,0.4741
1690772,0.4741
1692264,0.4790
1693748,0.4790
1695232,0.4839
1696724,0.4839
1698212,0.4936
1699700,0.4936
1701196,0.4936
1702684,0.4985
1704176,0.5034
1705660,0.5034
1707152,0.5083
1708640,0.5083
1710132,0.5132
1711624,0.5132
1713116,0.5181
1714600,0.5181
1716088,0.5230
1717576,0.5230
1719064,0.5230
1720556,0.5327
1722048,0.5279
1723540,0.5327
1725032,0.5376
1726524,0.5376
1728016,0.5425
1729500,0.5425
1730992,0.5474
1732480,0.5523
1733972,0.5523
1735464,0.5523
1736960,0.5572
1738448,0.5572
1739940,0.5572
1741432,0.5621
1742928,0.5670
1744412,0.5670
1745896,0.5670
1747384,0.5718
1748872,0.5718
1750364,0.5767
1751856,0.5767
1753348,0.5816
1754840,0.5767
1756332,0.5816
1757824,0.5865
1759316,0.5865
1760808,0.5865
1762292,0.5914
1763784,0.5914
1765272,0.5963
1766764,0.5963
1768248,0.5963
1769740,0.6012
1771228,0.6061
1772724,0.6012
1774208,0.6012
1775704,0.6061
1777188,0.6061
1778676,0.6109
1780164,0.6109
1781648,0.6158
1783148,0.6158
1784640,0.6158
1786132,0.6207
1787620,0.6207
1789112,0.6207
1790600,0.6207
1792092,0.6256
1793584,0.6305
1795068,0.6305
1796552,0.6256
1798044,0.6305
1799532,0.6354
1801024,0.6354
1802516,0.6354
1804008,0.6403
1805496,0.6403
1806984,0.6403
1808476,0.6403
1809960,0.6452
1811452,0.6452
1812944,0.6452
1814432,0.6500
1815908,0.6500
1817396,0.6500
1818888,0.6500
1820372,0.6500
1821864,0.6549
1823360,0.6549
1824852,0.6549
1826340,0.6549
1827828,0.6647
1829320,0.6647
1830808,0.6647
1832300,0.6696
1833792,0.6647
1835284,0.6696
1836776,0.6647
1838272,0.6696
1839760,0.6696
1841256,0.6696
1842744,0.6696
1844240,0.6696
1845724,0.6745
1847216,0.6745
1848704,0.6745
1850192,0.6745
1851684,0.6794
1853176,0.6794
1854672,0.6794
1856160,0.6843
1857652,0.6843
1859144,0.6843
1860640,0.6891
1862128,0.6843
1863616,0.6891
1865104,0.6891
1866592,0.6891
1868084,0.6891
1869576,0.6940
1871064,0.6940
1872552,0.6940
1874044,0.6940
1875532,0.6989
1877028,0.6989
1878516,0.6940
1880000,0.6989
1881492,0.6989
1882980,0.6989
1884472,0.7038
1885956,0.7038
1887448,0.7038
1888936,0.7038
1890428,0.7038
1891916,0.7087
1893408,0.7087
1894892,0.7087
1896376,0.7087
1897864,0.7087
1899352,0.7087
1900844,0.7087
1902332,0.7136
1903832,0.7136
1905324,0.7136
1906824,0.7136
1908316,0.7136
1909808,0.7185
1911296,0.7185
1912784,0.7185
1914272,0.7185
1915764,0.7234
1917256,0.7185
1918744,0.7234
1920244,0.7185
1921728,0.7234
1923224,0.7185
1924712,0.7234
1926208,0.7234
1927696,0.7234
1929184,0.7234
1930672,0.7283
1932164,0.7283
1933668,0.7283
1935156,0.7283
1936660,0.7283
1938156,0.7331
1939656,0.7283
1941148,0.7283
1942652,0.7331
1944140,0.7331
1945632,0.7331
1947120,0.7380
1948604,0.7331
1950100,0.7331
1951588,0.7380
1953072,0.7380
1954560,0.7380
1956056,0.7380
1957540,0.7331
1959044,0.7380
1960532,0.7429
1962028,0.7380
1963516,0.7380
1965004,0.7429
1966496,0.7429
1967984,0.7380
1969472,0.7429
1970964,0.7429
1972460,0.7478
1973952,0.7478
1975444,0.7429
1976936,0.7429
1978428,0.7478
1979920,0.7478
1981408,0.7478
1982896,0.7478
1984384,0.7478
1985876,0.7527
1987368,0.7478
1988860,0.7527
1990352,0.7527
1991848,0.7478
1993336,0.7478
1994828,0.7527
1996320,0.7527
1997808,0.7527
1999296,0.7576
2000784,0.7527
2002280,0.7527
2003768,0.7527
2005264,0.7527
2006752,0.7527
2008248,0.7576
2009736,0.7527
2011232,0.7576
2012720,0.7576
2014216,0.7576
2015704,0.7576
2017192,0.7576
2018680,0.7576
2020168,0.7576
2021660,0.7625
2023152,0.7576
2024648,0.7576
2026136,0.7625
2027632,0.7576
2029120,0.7625
2030616,0.7625
2032104,0.7625
2033592,0.7625
2035084,0.7625
2036572,0.7625
2038064,0.7674
2039556,0.7674
2041048,0.7625
2042536,0.7625
2044032,0.7674
2045524,0.7625
2047024,0.7674
2048516,0.7674
2050008,0.7674
2051496,0.7674
2052984,0.7674
2054480,0.7674
2055968,0.7674
2057464,0.7674
2058952,0.7722
2060444,0.7674
2061936,0.7674
2063432,0.7674
2064920,0.7722
2066408,0.7674
2067896,0.7674
2069388,0.7722
2070880,0.7722
2072368,0.7722
2073860,0.7722
2075352,0.7722
2076848,0.7722
2078336,0.7771
2079832,0.7722
2081320,0.7722
2082808,0.7771
2084296,0.7771
2085784,0.7771
2087276,0.7722
2088768,0.7722
2090264,0.7722
2091752,0.7722
2093248,0.7771
2094736,0.7771
2096232,0.7771
2097720,0.7771
2099216,0.7820
2100696,0.7771
2102188,0.7771
2103680,0.7820
2105160,0.7771
2106660,0.7771
2108152,0.7771
2109648,0.7771
2111136,0.7771
2112632,0.7820
2114112,0.7771
2115612,0.7771
2117104,0.7771
2118592,0.7820
2120072,0.7820
2121560,0.7771
2123060,0.7820
2124548,0.7820
2126040,0.7820
2127528,0.7869
2129024,0.7820
2130508,0.7820
2132000,0.7820
2133480,0.7820
2134968,0.7820
2136456,0.7820
2137944,0.7820
2139436,0.7820
2140924,0.7820
2142416,0.7820
2143904,0.7820
2145396,0.7820
2146884,0.7820
2148376,0.7869
2149860,0.7869
2151348,0.7820
2152836,0.7869
2154324,0.7869
2155820,0.7869
2157308,0.7869
2158800,0.7820
2160284,0.7820
2161776,0.7820
2163264,0.7869
2164760,0.7869
2166244,0.7869
2167732,0.7820
2169220,0.7869
2170708,0.7869
2172204,0.7820
2173688,0.7918
2175188,0.7869
2176680,0.7918
2178172,0.7869
2179660,0.7869
2181156,0.7869
2182636,0.7869
2184124,0.7869
2185612,0.7869
2187100,0.7869
2188596,0.7918
2190088,0.7869
2191580,0.7918
2193072,0.7918
2194564,0.7869
2196052,0.7869
2197548,0.7869
2199040,0.7918
2200528,0.7918
2202016,0.7918
2203504,0.7918
2205000,0.7918
2206488,0.7918
2207980,0.7918
2209472,0.7918
2210968,0.7918
2212456,0.7918
2213948,0.7918
2215440,0.7918
2216928,0.7918
2218416,0.7918
2219904,0.7918
2221400,0.7918
2222888,0.7918
2224380,0.7918
2225872,0.7918
2227368,0.7918
2228856,0.7918
2230348,0.7918
2231840,0.7918
2233328,0.7918
2234816,0.7918
2236304,0.7918
2237800,0.7918
2239288,0.7918
2240784,0.7967
2242272,0.7967
2243764,0.7918
2245256,0.7918
2246748,0.7918
2248240,0.7967
2249732,0.7918
2251224,0.7918
2252712,0.7967
2254200,0.7967
2255688,0.7918
2257180,0.7918
2258672,0.7918
2260164,0.7967
2261656,0.7967
2263148,0.7918
2264640,0.7967
2266132,0.7967
2267624,0.7967
2269112,0.7967
2270600,0.7967
2272088,0.7967
2273580,0.7918
2275072,0.7918
2276568,0.7967
2278056,0.7918
2279552,0.7918
2281040,0.7967
2282532,0.7967
2284024,0.7967
2285512,0.7967
2287000,0.7967
2288488,0.7967
2289980,0.7967
2291472,0.7918
2292968,0.7967
2294456,0.7967
2295948,0.7967
2297440,0.7967
2298932,0.7967
2300424,0.7967
2301912,0.7967
2303400,0.7967
2304888,0.7918
2306380,0.7967
2307872,0.7967
2309364,0.7967
2310856,0.7967
2312348,0.8016
2313836,0.7967
2315332,0.7967
2316824,0.7967
2318308,0.7967
2319800,0.8016
2321284,0.7967
2322780,0.7967
2324272,0.7967
2325764,0.7967
2327256,0.7967
2328748,0.8016
2330236,0.8016
2331732,0.8016
2333220,0.8016
2334708,0.7967
2336200,0.8016
2337684,0.8016
2339176,0.8016
2340664,0.8016
2342160,0.8016
2343648,0.8016
2345144,0.8016
2346628,0.7967
2348128,0.7967
2349616,0.8016
2351100,0.7967
2352592,0.8016
2354080,0.8016
2355564,0.8016
2357052,0.8016
2358548,0.7967
2360036,0.8016
2361532,0.8016
2363020,0.8016
2364512,0.8016
